H3010180A08389,BAD
U2907190B045C7,BAD
U2907190B045CE,BAD
U2907190B045D5,BAD
U2907190B045DA,BAD
U2907190B045DC,BAD
U2907190B045E0,BAD
U2907190B045EB,BAD
U2907190B045DF,BAD
U2907190B045E2,BAD
U2907190B045E4,BAD
U2907190B045EE,BAD
U2907190B045F4,BAD
U2907190B045FC,BAD
U2907190B0460B,BAD
U2907190B04615,BAD
U2907190B045BB,GOOD
U2907190B045BC,GOOD
U2907190B045C3,GOOD
U2907190B045C9,GOOD
U2907190B045FB,GOOD
U2907190B048E4,GOOD
U2907190B048E7,GOOD
U2907190B048FF,GOOD
U2907190B0491E,GOOD
U2907190B04902,GOOD
U2907190B04903,GOOD
U2907190B04924,GOOD
U3107190B12FCE,GOOD
U3107190B12FCF,GOOD
U3107190B12FD0,GOOD
U3107190B12FD1,GOOD
