F270719C2103009,BAD,XBBS03
F270719C2103007,BAD,XBBS03
F270719C2103008,BAD,XBBS03
F290719C2023890,BAD,XBBS20
F290719C2023892,BAD,XBBS20
F290719C2023891,BAD,XBBS20
F290719C2023669,BAD,XBBS20
F290719C2023887,BAD,XBBS23
F290719C2023888,BAD,XBBS23
F290719C2023889,BAD,XBBS23
F270719C2103214,BAD,XBBS01
F270719C2103216,BAD,XBBS01
F270719C2103215,BAD,XBBS01
F270719C2103588,BAD,XBBS02
F290719C2023886,BAD,XBBS02
F300719C2004510,BAD,XBBS02
F200719C2027261,GOOD,GOOD
F200719C2027257,GOOD,GOOD
F200719C2027258,GOOD,GOOD
F200719C2005860,GOOD,GOOD
F200719C2027262,GOOD,GOOD
F200719C2005857,GOOD,GOOD
F200719C2005852,GOOD,GOOD
F200719C2005859,GOOD,GOOD
F200719C2027254,GOOD,GOOD
F200719C2005855,GOOD,GOOD
F200719C2027268,GOOD,GOOD
F200719C2027263,GOOD,GOOD
F200719C2005846,GOOD,GOOD
F200719C2027256,GOOD,GOOD
F200719C2005851,GOOD,GOOD
F200719C2027260,GOOD,GOOD
F030819C2016772,BAD,XBBS03
F030819C2017069,BAD,XBBS03
F020819C2096330,BAD,XBBS03
F020819C2096331,BAD,XBBS20
F030819C2016767,BAD,XBBS20
F020819C2096325,BAD,XBBS20
F020819C2094620,BAD,XBBS20
F020819C2094574,BAD,XBBS23
F030819C2023004,BAD,XBBS23
F030819C2016972,BAD,XBBS23
F020819C2043346,BAD,XBBS01
F020819C2043415,BAD,XBBS01
F030819C2013564,BAD,XBBS01
F030819C2016976,BAD,XBBS02
F020819C2096337,BAD,XBBS02
F030819C2016981,BAD,XBBS02
F030819C2016983,GOOD,GOOD
F030819C2023218,GOOD,GOOD
F030819C2013563,GOOD,GOOD
F030819C2013561,GOOD,GOOD
F020819C2043417,GOOD,GOOD
F020819C2094577,GOOD,GOOD
F030819C2023220,GOOD,GOOD
F020819C2043627,GOOD,GOOD
F020819C2094600,GOOD,GOOD
F030819C2013562,GOOD,GOOD
F030819C2016971,GOOD,GOOD
F030819C2013349,GOOD,GOOD
F030819C2016769,GOOD,GOOD
F030819C2016760,GOOD,GOOD
F020819C2096332,GOOD,GOOD
F030819C2026742,GOOD,GOOD
F020819C2094578,BAD,XBBS03
F030819C2016770,BAD,XBBS03
F020819C2096319,BAD,XBBS03
F020819C2096303,BAD,XBBS20
F030819C2026740,BAD,XBBS20
F030819C2016768,BAD,XBBS20
F020819C2096320,BAD,XBBS20
F020819C2094590,BAD,XBBS23
F020819C2094589,BAD,XBBS23
F020819C2043418,BAD,XBBS23
F020819C2043628,BAD,XBBS01
F030819C2023005,BAD,XBBS01
F020819C2043348,BAD,XBBS01
F020819C2096321,BAD,XBBS02
F030819C2016771,BAD,XBBS02
F020819C2096349,BAD,XBBS02
F020819C2096322,GOOD,GOOD
F030819C2016975,GOOD,GOOD
F020819C2094588,GOOD,GOOD
F020819C2043342,GOOD,GOOD
F030819C2016974,GOOD,GOOD
F020819C2094575,GOOD,GOOD
F030819C2016969,GOOD,GOOD
F030819C2016973,GOOD,GOOD
F020819C2067009,GOOD,GOOD
F030819C2016985,GOOD,GOOD
F030819C2023219,GOOD,GOOD
F020819C2043622,GOOD,GOOD
F030819C2013345,GOOD,GOOD
F020819C2043423,GOOD,GOOD
F030819C2016979,GOOD,GOOD
F020819C2094576,GOOD,GOOD
